28899 2237352
19 1310 -10.834371286713184
19 17993 -9.735758998045073
19 1323 -10.141224106153238
19 13004 -9.448076925593293
19 972 -9.735758998045073
19 14335 -10.834371286713184
19 15175 -10.834371286713184
19 19920 -10.834371286713184
19 24379 -10.834371286713184
19 1107 -10.141224106153238
19 7781 -10.834371286713184
19 9188 -9.735758998045073
19 18681 -9.735758998045073
19 5277 -9.224933374279082
19 24395 -10.834371286713184
19 1514 -9.224933374279082
19 4687 -10.834371286713184
19 24403 -10.834371286713184
19 24406 -10.834371286713184
19 5232 -9.224933374279082
19 4437 -9.448076925593293
19 24412 -10.834371286713184
19 15892 -10.834371286713184
19 16339 -10.834371286713184
19 20911 -10.834371286713184
19 8384 -10.834371286713184
19 2617 -9.735758998045073
19 24422 -10.834371286713184
19 1217 -10.141224106153238
19 24426 -10.834371286713184
19 24427 -10.834371286713184
19 3168 -10.834371286713184
19 5589 -10.834371286713184
19 12968 -10.834371286713184
19 10286 -10.834371286713184
19 24432 -10.141224106153238
19 9813 -10.834371286713184
19 11622 -10.834371286713184
19 11521 -10.141224106153238
19 20079 -10.834371286713184
19 21914 -10.141224106153238
19 8187 -9.735758998045073
19 14086 -10.141224106153238
19 11677 -10.834371286713184
19 24449 -10.141224106153238
19 15347 -10.834371286713184
19 11400 -10.141224106153238
19 14714 -10.834371286713184
19 23505 -10.834371286713184
19 22107 -10.141224106153238
19 24465 -10.141224106153238
19 24001 -9.448076925593293
19 24463 -10.834371286713184
19 24470 -10.834371286713184
19 4422 -10.834371286713184
19 24472 -10.834371286713184
19 1594 -10.834371286713184
19 24469 -10.834371286713184
19 24468 -10.834371286713184
19 8959 -10.141224106153238
19 9359 -9.735758998045073
19 24169 -10.834371286713184
19 24476 -9.448076925593293
19 4283 -10.834371286713184
19 9412 -10.834371286713184
19 17193 -10.834371286713184
19 7438 -9.448076925593293
19 5481 -10.834371286713184
19 5510 -10.834371286713184
19 20904 -10.141224106153238
19 15161 -9.735758998045073
19 898 -9.448076925593293
19 3598 -9.735758998045073
19 3677 -9.735758998045073
19 2777 -10.141224106153238
19 19045 -10.834371286713184
19 21818 -10.141224106153238
19 22050 -10.141224106153238
19 3691 -10.834371286713184
19 4845 -9.735758998045073
19 3525 -10.834371286713184
19 21592 -10.834371286713184
19 19989 -10.834371286713184
19 19405 -10.834371286713184
19 1462 -9.448076925593293
19 4804 -10.141224106153238
19 6080 -10.834371286713184
19 10548 -10.834371286713184
19 19192 -10.141224106153238
19 19430 -10.834371286713184
19 4137 -9.224933374279082
19 7799 -10.834371286713184
19 19494 -10.834371286713184
19 3076 -10.141224106153238
19 22806 -10.834371286713184
19 15100 -10.141224106153238
19 11044 -10.834371286713184
19 24550 -10.834371286713184
19 24553 -10.141224106153238
19 17712 -10.834371286713184
19 15172 -10.834371286713184
19 24559 -10.834371286713184
19 8491 -10.834371286713184
19 3664 -10.141224106153238
19 12301 -10.141224106153238
19 3201 -10.834371286713184
19 9936 -10.834371286713184
19 17532 -10.834371286713184
19 5893 -10.834371286713184
19 24556 -10.141224106153238
19 5709 -9.042611817485128
19 2373 -10.141224106153238
19 15010 -10.834371286713184
19 24575 -10.141224106153238
19 3018 -10.141224106153238
19 10654 -10.834371286713184
19 16926 -10.834371286713184
19 18240 -9.448076925593293
19 4914 -9.448076925593293
19 24584 -9.735758998045073
19 6727 -10.834371286713184
19 9179 -9.735758998045073
19 15800 -10.834371286713184
19 9989 -9.448076925593293
19 10589 -10.834371286713184
19 931 -10.141224106153238
19 10008 -10.834371286713184
19 24580 -10.834371286713184
19 6061 -9.448076925593293
19 1702 -9.735758998045073
19 4482 -10.141224106153238
19 21851 -10.834371286713184
19 24593 -10.834371286713184
19 16300 -10.834371286713184
19 24619 -10.834371286713184
19 13394 -10.834371286713184
19 24624 -10.141224106153238
19 3338 -9.448076925593293
19 7684 -10.834371286713184
19 21770 -10.834371286713184
19 19450 -10.834371286713184
19 17874 -10.834371286713184
19 1549 -10.834371286713184
19 17595 -10.834371286713184
19 483 -10.834371286713184
19 3217 -10.141224106153238
19 17367 -10.141224106153238
19 24574 -10.834371286713184
19 18711 -10.834371286713184
19 16786 -10.834371286713184
19 1391 -10.834371286713184
19 13481 -9.735758998045073
19 13597 -10.834371286713184
19 24649 -10.834371286713184
19 1353 -10.141224106153238
19 24650 -10.834371286713184
19 19184 -10.834371286713184
19 4270 -10.834371286713184
19 16565 -10.834371286713184
19 9624 -10.834371286713184
19 6898 -9.735758998045073
19 22291 -10.834371286713184
19 18693 -10.141224106153238
19 12978 -10.141224106153238
19 24663 -10.834371286713184
19 18819 -10.834371286713184
19 9742 -10.834371286713184
19 4079 -10.834371286713184
19 8346 -10.141224106153238
19 8504 -10.834371286713184
19 24360 -9.735758998045073
19 24689 -10.141224106153238
19 24692 -10.834371286713184
19 24679 -10.834371286713184
19 24675 -10.834371286713184
19 7129 -10.834371286713184
19 11525 -10.141224106153238
19 7240 -10.834371286713184
19 67 -9.448076925593293
19 8426 -10.834371286713184
19 8537 -10.834371286713184
19 24714 -8.531786193719137
19 7296 -10.141224106153238
19 8328 -10.141224106153238
19 24722 -9.735758998045073
19 12334 -10.141224106153238
19 1110 -10.141224106153238
19 24730 -9.735758998045073
19 24715 -10.834371286713184
19 3354 -10.834371286713184
19 3942 -10.141224106153238
19 9216 -10.834371286713184
19 16671 -9.735758998045073
19 6702 -10.834371286713184
19 8782 -9.735758998045073
19 24747 -10.141224106153238
19 8511 -10.834371286713184
19 21366 -10.834371286713184
19 15561 -10.834371286713184
19 15324 -10.834371286713184
19 24768 -10.834371286713184
19 19844 -10.834371286713184
19 24770 -10.834371286713184
19 14728 -10.834371286713184
19 6917 -9.735758998045073
19 9274 -10.834371286713184
19 6044 -10.834371286713184
19 24700 -10.141224106153238
19 24777 -10.834371286713184
19 12020 -10.834371286713184
19 4834 -10.834371286713184
19 24760 -10.834371286713184
19 2490 -8.754929745033348
19 24791 -10.141224106153238
19 18123 -9.224933374279082
19 18543 -10.141224106153238
19 5799 -10.834371286713184
19 2324 -10.141224106153238
19 24799 -10.141224106153238
19 5008 -10.834371286713184
19 24793 -10.834371286713184
19 4195 -10.834371286713184
19 15087 -10.834371286713184
19 14646 -10.834371286713184
19 22416 -10.834371286713184
19 18507 -10.834371286713184
19 4985 -10.141224106153238
19 8485 -10.834371286713184
19 4200 -10.834371286713184
19 15751 -10.834371286713184
19 8415 -10.834371286713184
19 19662 -10.834371286713184
19 15059 -10.834371286713184
19 24821 -10.834371286713184
19 20784 -10.834371286713184
19 3486 -9.224933374279082
19 12125 -10.834371286713184
19 4543 -10.834371286713184
19 4449 -9.448076925593293
19 24832 -10.141224106153238
19 14119 -9.735758998045073
19 14799 -10.141224106153238
19 11758 -10.834371286713184
19 14103 -10.834371286713184
19 15868 -10.141224106153238
19 5528 -10.834371286713184
19 4699 -9.448076925593293
19 12805 -7.576274748691701
19 19238 -9.735758998045073
19 7361 -8.637146709376964
19 7172 -10.834371286713184
19 2440 -10.834371286713184
19 2048 -10.141224106153238
19 13969 -10.141224106153238
19 2866 -9.224933374279082
19 14237 -10.141224106153238
19 10217 -10.834371286713184
19 15063 -10.141224106153238
19 16073 -10.834371286713184
19 7935 -9.448076925593293
19 3513 -10.834371286713184
19 2867 -10.141224106153238
19 11741 -9.735758998045073
19 5407 -10.834371286713184
19 7708 -9.448076925593293
19 12445 -10.834371286713184
19 20210 -10.834371286713184
19 5021 -9.735758998045073
19 12091 -10.141224106153238
19 12818 -10.141224106153238
19 1727 -10.834371286713184
19 24877 -10.834371286713184
19 9855 -10.834371286713184
19 20898 -9.735758998045073
19 10047 -10.834371286713184
19 18632 -10.834371286713184
19 11495 -10.141224106153238
19 20753 -10.141224106153238
19 17740 -10.834371286713184
19 17487 -10.834371286713184
19 24850 -10.834371286713184
19 24837 -10.834371286713184
19 24865 -10.834371286713184
19 8787 -10.141224106153238
19 15891 -10.834371286713184
19 21342 -10.141224106153238
19 18478 -9.735758998045073
19 8234 -10.141224106153238
19 3342 -9.042611817485128
19 1812 -9.042611817485128
19 6108 -10.141224106153238
19 24909 -10.834371286713184
19 2855 -10.834371286713184
19 2921 -10.834371286713184
19 8897 -10.834371286713184
19 8190 -10.141224106153238
19 1796 -10.834371286713184
19 8845 -9.448076925593293
19 11935 -10.141224106153238
19 1955 -9.224933374279082
19 13198 -10.834371286713184
19 24904 -10.834371286713184
19 24175 -10.834371286713184
19 8734 -10.834371286713184
19 5995 -9.735758998045073
19 19563 -10.834371286713184
19 21460 -10.834371286713184
19 6819 -10.834371286713184
19 7461 -10.141224106153238
19 6356 -10.834371286713184
19 2709 -10.834371286713184
19 21175 -10.141224106153238
19 14302 -10.834371286713184
19 24933 -10.834371286713184
19 22067 -10.834371286713184
19 13542 -10.834371286713184
19 24923 -10.834371286713184
19 23357 -9.448076925593293
19 24942 -9.735758998045073
19 17296 -10.834371286713184
19 656 -9.448076925593293
19 14127 -10.834371286713184
19 24956 -10.141224106153238
19 1423 -10.834371286713184
19 17054 -10.834371286713184
19 23033 -10.141224106153238
19 11653 -10.834371286713184
19 18929 -10.834371286713184
19 7479 -10.834371286713184
19 5141 -10.141224106153238
19 2386 -9.224933374279082
19 3285 -10.141224106153238
19 2313 -10.834371286713184
19 24964 -10.834371286713184
19 13676 -10.834371286713184
19 24962 -10.834371286713184
19 24965 -10.834371286713184
19 17927 -10.834371286713184
19 3760 -10.141224106153238
19 24988 -10.141224106153238
19 3344 -10.834371286713184
19 24991 -10.141224106153238
19 24989 -10.834371286713184
19 2189 -10.141224106153238
19 24982 -10.834371286713184
19 13323 -10.834371286713184
19 7709 -10.834371286713184
19 24990 -10.834371286713184
19 23911 -9.735758998045073
19 4511 -9.735758998045073
19 221 -10.834371286713184
19 16766 -9.735758998045073
19 25008 -9.448076925593293
19 15012 -9.448076925593293
19 17031 -10.834371286713184
19 16607 -8.754929745033348
19 8552 -10.834371286713184
19 5782 -10.834371286713184
19 21056 -9.735758998045073
19 11721 -10.141224106153238
19 16230 -10.141224106153238
19 2337 -10.141224106153238
19 4688 -9.448076925593293
19 6903 -10.141224106153238
19 3129 -9.735758998045073
19 16499 -10.141224106153238
19 2197 -10.141224106153238
19 12853 -10.834371286713184
19 112 -9.448076925593293
19 20010 -10.141224106153238
19 10451 -10.834371286713184
19 18411 -10.834371286713184
19 6662 -9.735758998045073
19 17641 -10.834371286713184
19 22300 -10.834371286713184
19 19194 -10.834371286713184
19 4558 -10.141224106153238
19 7107 -10.141224106153238
19 13036 -10.141224106153238
19 22297 -10.834371286713184
19 22279 -10.834371286713184
19 12917 -10.834371286713184
19 22268 -10.834371286713184
19 21090 -10.834371286713184
19 19185 -10.834371286713184
19 6474 -9.224933374279082
19 8831 -10.141224106153238
19 6563 -10.141224106153238
19 5828 -9.448076925593293
19 932 -9.042611817485128
19 8524 -10.141224106153238
19 22348 -10.834371286713184
19 23417 -10.141224106153238
19 17029 -10.141224106153238
19 1566 -10.834371286713184
19 2080 -9.735758998045073
19 13087 -9.735758998045073
19 12320 -10.834371286713184
19 8870 -10.141224106153238
19 12501 -10.834371286713184
19 25073 -10.834371286713184
19 18863 -10.834371286713184
19 1499 -9.224933374279082
19 10408 -10.834371286713184
19 8061 -10.141224106153238
19 25086 -10.141224106153238
19 1606 -10.141224106153238
19 7118 -10.834371286713184
19 25090 -10.834371286713184
19 10284 -9.448076925593293
19 25091 -9.448076925593293
19 25062 -9.448076925593293
19 5636 -10.141224106153238
19 18949 -10.141224106153238
19 15513 -10.834371286713184
19 9133 -10.834371286713184
19 610 -9.735758998045073
19 3371 -10.834371286713184
19 20747 -9.735758998045073
19 24113 -10.834371286713184
19 25098 -10.834371286713184
19 7231 -10.834371286713184
19 12015 -10.834371286713184
19 14903 -10.834371286713184
19 13035 -10.834371286713184
19 7943 -10.834371286713184
19 12050 -10.141224106153238
19 7066 -10.834371286713184
19 10463 -10.834371286713184
19 21757 -10.834371286713184
19 22149 -10.834371286713184
19 23443 -10.834371286713184
19 12447 -10.834371286713184
19 2269 -10.141224106153238
19 6404 -10.834371286713184
19 438 -10.834371286713184
19 6177 -9.735758998045073
19 6812 -10.834371286713184
19 25118 -10.834371286713184
19 11712 -10.834371286713184
19 9559 -10.834371286713184
19 20455 -10.834371286713184
19 319 -10.834371286713184
19 13077 -10.834371286713184
19 21028 -10.834371286713184
19 20906 -10.834371286713184
19 3123 -10.141224106153238
19 22648 -10.834371286713184
19 6706 -10.834371286713184
19 2445 -10.141224106153238
19 12189 -10.834371286713184
19 20654 -10.834371286713184
19 25121 -9.224933374279082
19 23955 -10.834371286713184
19 18150 -10.834371286713184
19 8592 -10.834371286713184
19 5449 -10.834371286713184
19 17727 -10.834371286713184
19 13082 -10.834371286713184
19 25124 -10.834371286713184
19 8615 -10.834371286713184
19 16474 -10.834371286713184
19 462 -9.735758998045073
19 4620 -9.735758998045073
19 3137 -10.141224106153238
19 20643 -10.834371286713184
19 17182 -10.141224106153238
19 9145 -9.735758998045073
19 1262 -9.735758998045073
19 15920 -10.141224106153238
19 25145 -10.834371286713184
19 13791 -10.834371286713184
19 2987 -10.834371286713184
19 13540 -10.141224106153238
19 25149 -9.735758998045073
19 23192 -10.834371286713184
19 5056 -10.834371286713184
19 348 -10.834371286713184
19 23656 -10.834371286713184
19 7891 -10.834371286713184
19 1010 -8.888461137657870
19 4599 -10.834371286713184
19 3738 -10.834371286713184
19 3140 -9.735758998045073
19 22742 -10.141224106153238
19 10565 -10.834371286713184
19 588 -10.141224106153238
19 22372 -10.834371286713184
19 1728 -10.834371286713184
19 23587 -10.141224106153238
19 11811 -10.141224106153238
19 25173 -10.834371286713184
19 25171 -10.834371286713184
19 18608 -10.141224106153238
19 17992 -9.735758998045073
19 2311 -9.448076925593293
19 7452 -10.141224106153238
19 15680 -9.448076925593293
19 19188 -10.141224106153238
19 2149 -10.141224106153238
19 10647 -10.834371286713184
19 20941 -10.834371286713184
19 22022 -10.834371286713184
19 25186 -10.834371286713184
19 2371 -10.834371286713184
19 12939 -10.141224106153238
19 601 -10.834371286713184
19 16833 -9.735758998045073
19 780 -9.042611817485128
19 9335 -10.834371286713184
19 10159 -10.141224106153238
19 17022 -10.834371286713184
19 3459 -9.735758998045073
19 25213 -9.448076925593293
19 10888 -9.448076925593293
19 18662 -10.834371286713184
19 25228 -10.834371286713184
19 25230 -10.834371286713184
19 16898 -10.834371286713184
19 4860 -10.141224106153238
19 25235 -10.834371286713184
19 25240 -10.834371286713184
19 18029 -10.141224106153238
19 3028 -9.735758998045073
19 25242 -10.141224106153238
19 2638 -10.141224106153238
19 9388 -9.735758998045073
19 24993 -10.834371286713184
19 17006 -10.141224106153238
19 3026 -10.834371286713184
19 12444 -10.834371286713184
19 7838 -9.448076925593293
19 25215 -10.834371286713184
19 13247 -9.448076925593293
19 9155 -10.141224106153238
19 16665 -10.141224106153238
19 10264 -10.834371286713184
19 17078 -10.834371286713184
19 7289 -9.735758998045073
19 7573 -10.834371286713184
19 2929 -10.834371286713184
19 25251 -10.834371286713184
19 25209 -10.834371286713184
19 8808 -10.834371286713184
19 25266 -10.141224106153238
19 7171 -10.834371286713184
19 25273 -10.834371286713184
19 18133 -10.834371286713184
19 7426 -10.834371286713184
19 17622 -10.834371286713184
19 8713 -10.141224106153238
19 7226 -9.735758998045073
19 19545 -10.141224106153238
19 8850 -10.834371286713184
19 16005 -10.834371286713184
19 5973 -10.834371286713184
19 16085 -10.141224106153238
19 17638 -10.834371286713184
19 7027 -10.834371286713184
19 25265 -10.834371286713184
19 16006 -10.141224106153238
19 25289 -10.834371286713184
19 19547 -10.834371286713184
19 25286 -10.834371286713184
19 17440 -10.141224106153238
19 4546 -10.141224106153238
19 2535 -9.735758998045073
19 3785 -10.141224106153238
19 96 -10.141224106153238
19 1399 -10.141224106153238
19 19024 -10.834371286713184
19 289 -9.448076925593293
19 2692 -10.834371286713184
19 9503 -10.141224106153238
19 3301 -9.448076925593293
19 25305 -10.834371286713184
19 16925 -10.141224106153238
19 3763 -8.888461137657870
19 1016 -8.888461137657870
19 8030 -10.141224106153238
19 11046 -10.834371286713184
19 25309 -10.834371286713184
19 18739 -9.735758998045073
19 20612 -10.141224106153238
19 14196 -10.834371286713184
19 394 -10.141224106153238
19 9333 -10.141224106153238
19 9131 -9.735758998045073
19 25326 -10.141224106153238
19 25308 -10.834371286713184
19 25316 -10.834371286713184
19 25333 -10.834371286713184
19 2262 -9.735758998045073
19 6062 -8.888461137657870
19 25343 -10.834371286713184
19 14657 -10.834371286713184
19 3273 -10.834371286713184
19 8397 -10.834371286713184
19 17011 -10.834371286713184
19 11493 -10.834371286713184
19 15440 -9.735758998045073
19 13313 -10.834371286713184
19 18413 -10.834371286713184
19 11517 -10.834371286713184
19 12548 -10.834371286713184
19 568 -10.141224106153238
19 25373 -10.834371286713184
19 25375 -9.735758998045073
19 4856 -9.448076925593293
19 17452 -10.834371286713184
19 22970 -10.834371286713184
19 25350 -10.834371286713184
19 21341 -10.834371286713184
19 22687 -10.834371286713184
19 6961 -9.735758998045073
19 2475 -10.834371286713184
19 25382 -10.834371286713184
19 25388 -10.834371286713184
19 17669 -10.834371286713184
19 12397 -10.834371286713184
19 25386 -10.834371286713184
19 25394 -10.834371286713184
19 25403 -10.834371286713184
19 7271 -10.834371286713184
19 8279 -10.834371286713184
19 6886 -10.834371286713184
19 24348 -10.834371286713184
19 9531 -10.141224106153238
19 25393 -10.834371286713184
19 11624 -10.834371286713184
19 25407 -10.834371286713184
19 8647 -10.141224106153238
19 5137 -9.735758998045073
19 24726 -10.834371286713184
19 24356 -10.834371286713184
19 11756 -10.834371286713184
19 8478 -10.834371286713184
19 5179 -10.834371286713184
19 25398 -10.834371286713184
19 25438 -10.141224106153238
19 11559 -9.448076925593293
19 25430 -10.834371286713184
19 7408 -10.834371286713184
19 1052 -8.888461137657870
19 25392 -10.834371286713184
19 18102 -10.834371286713184
19 25453 -10.141224106153238
19 15183 -9.448076925593293
19 25450 -10.834371286713184
19 4878 -10.834371286713184
19 25454 -10.834371286713184
19 4045 -10.834371286713184
19 10420 -9.735758998045073
19 20931 -10.834371286713184
19 17210 -10.141224106153238
19 6237 -10.141224106153238
19 5710 -9.735758998045073
19 5572 -9.224933374279082
19 3503 -10.141224106153238
19 12828 -10.834371286713184
19 1893 -10.834371286713184
19 19291 -10.834371286713184
19 6779 -10.834371286713184
19 243 -10.141224106153238
19 21337 -10.834371286713184
19 15302 -10.834371286713184
19 19097 -10.834371286713184
19 22113 -10.141224106153238
19 19411 -10.834371286713184
19 19070 -10.834371286713184
19 18205 -10.834371286713184
19 2237 -10.141224106153238
19 5419 -10.834371286713184
19 835 -9.448076925593293
19 17668 -10.834371286713184
19 10568 -10.834371286713184
19 7158 -9.735758998045073
19 23837 -10.834371286713184
19 12333 -10.834371286713184
19 12233 -9.448076925593293
19 5763 -10.141224106153238
19 16727 -10.141224106153238
19 23920 -10.834371286713184
19 1224 -9.448076925593293
19 25512 -10.834371286713184
19 11729 -10.834371286713184
19 4098 -10.834371286713184
19 25528 -10.834371286713184
19 25506 -10.834371286713184
19 19227 -10.834371286713184
19 18599 -10.141224106153238
19 3597 -10.834371286713184
19 25531 -10.834371286713184
19 9072 -10.141224106153238
19 2747 -10.834371286713184
19 2318 -10.834371286713184
19 8961 -10.834371286713184
19 17729 -10.834371286713184
19 1275 -10.141224106153238
19 23698 -10.834371286713184
19 25538 -10.834371286713184
19 16196 -10.141224106153238
19 18553 -10.834371286713184
19 7941 -9.735758998045073
19 2006 -9.448076925593293
19 6107 -10.141224106153238
19 25530 -10.834371286713184
19 22984 -10.834371286713184
19 17339 -10.834371286713184
19 1889 -9.735758998045073
19 5342 -10.834371286713184
19 10295 -10.834371286713184
19 12476 -9.224933374279082
19 14227 -10.834371286713184
19 17809 -10.834371286713184
19 12529 -10.834371286713184
19 6110 -9.448076925593293
19 1419 -10.834371286713184
19 262 -9.735758998045073
19 9438 -10.834371286713184
19 25566 -9.735758998045073
19 9616 -10.834371286713184
19 11962 -10.141224106153238
19 4396 -10.834371286713184
19 22543 -10.834371286713184
19 17605 -10.834371286713184
19 7748 -10.834371286713184
19 13431 -10.141224106153238
19 5246 -10.141224106153238
19 853 -10.834371286713184
19 16997 -10.834371286713184
19 7257 -10.834371286713184
19 21504 -9.735758998045073
19 7302 -10.141224106153238
19 11417 -9.735758998045073
19 6637 -10.834371286713184
19 25589 -10.834371286713184
19 22992 -10.141224106153238
19 17183 -10.834371286713184
19 7579 -9.735758998045073
19 14749 -10.834371286713184
19 24005 -10.834371286713184
19 22212 -10.834371286713184
19 9269 -10.834371286713184
19 14013 -10.834371286713184
19 5182 -10.834371286713184
19 2646 -10.834371286713184
19 9119 -10.834371286713184
19 18951 -10.834371286713184
19 25615 -8.888461137657870
19 18565 -10.834371286713184
19 18318 -10.141224106153238
19 4252 -10.834371286713184
19 11072 -10.834371286713184
19 1589 -9.735758998045073
19 3336 -10.834371286713184
19 5019 -10.834371286713184
19 8625 -10.141224106153238
19 3203 -10.834371286713184
19 18612 -10.834371286713184
19 4210 -10.834371286713184
19 25634 -10.141224106153238
19 6978 -10.141224106153238
19 16142 -10.141224106153238
19 14897 -9.735758998045073
19 9083 -10.834371286713184
19 25645 -8.436476013914813
19 6016 -10.834371286713184
19 5554 -10.834371286713184
19 25656 -10.834371286713184
19 25657 -10.834371286713184
19 2132 -10.834371286713184
19 25655 -10.834371286713184
19 20620 -10.834371286713184
19 24739 -10.141224106153238
19 17394 -10.834371286713184
19 18875 -10.834371286713184
19 15167 -10.834371286713184
19 11868 -10.834371286713184
19 2744 -10.141224106153238
19 24217 -10.141224106153238
19 10332 -10.834371286713184
19 24669 -10.141224106153238
19 9104 -10.834371286713184
19 25674 -10.834371286713184
19 5230 -10.834371286713184
19 4351 -9.735758998045073
19 10989 -10.141224106153238
19 21047 -10.141224106153238
19 21048 -10.834371286713184
19 540 -10.834371286713184
19 6003 -10.834371286713184
19 20005 -10.834371286713184
19 4695 -10.834371286713184
19 1025 -10.141224106153238
19 4408 -9.735758998045073
19 25688 -10.834371286713184
19 1730 -10.834371286713184
19 25676 -10.141224106153238
19 12120 -10.834371286713184
19 546 -10.834371286713184
19 22220 -10.834371286713184
19 25693 -10.141224106153238
19 4692 -9.735758998045073
19 23775 -10.834371286713184
19 15889 -10.834371286713184
19 11950 -10.834371286713184
19 16525 -10.834371286713184
19 25680 -10.834371286713184
19 9411 -10.834371286713184
19 3890 -10.834371286713184
19 24131 -10.834371286713184
19 15500 -10.834371286713184
19 3652 -10.834371286713184
19 19465 -10.834371286713184
19 2481 -10.141224106153238
19 22180 -10.834371286713184
19 8225 -10.834371286713184
19 20372 -10.834371286713184
19 23604 -10.834371286713184
19 9047 -10.834371286713184
19 11954 -9.735758998045073
19 545 -10.834371286713184
19 15182 -10.834371286713184
19 8318 -10.834371286713184
19 25715 -10.834371286713184
19 25717 -10.141224106153238
19 11750 -10.834371286713184
19 13441 -9.735758998045073
19 14043 -10.141224106153238
19 20363 -10.834371286713184
19 25721 -10.141224106153238
19 25713 -10.141224106153238
19 4896 -10.834371286713184
19 9319 -10.834371286713184
19 1266 -9.735758998045073
19 8321 -10.834371286713184
19 25729 -10.834371286713184
19 25728 -10.834371286713184
19 25741 -10.834371286713184
19 3216 -9.448076925593293
19 22404 -10.834371286713184
19 15401 -9.448076925593293
19 25733 -10.834371286713184
19 25750 -10.141224106153238
19 11947 -10.834371286713184
19 25743 -10.834371286713184
19 10192 -10.834371286713184
19 25205 -10.834371286713184
19 25738 -10.834371286713184
19 12915 -10.834371286713184
19 16250 -10.834371286713184
19 4969 -10.141224106153238
19 25762 -10.834371286713184
19 14802 -10.834371286713184
19 5621 -10.834371286713184
19 14705 -10.834371286713184
19 16050 -10.834371286713184
19 3858 -10.834371286713184
19 3917 -9.448076925593293
19 25760 -9.735758998045073
19 25764 -10.141224106153238
19 23346 -10.834371286713184
19 14471 -9.735758998045073
19 19483 -10.834371286713184
19 12912 -10.834371286713184
19 9321 -9.224933374279082
19 17070 -10.834371286713184
19 14776 -8.436476013914813
19 5712 -10.141224106153238
19 3482 -10.834371286713184
19 3719 -10.141224106153238
19 10259 -10.141224106153238
19 25791 -10.834371286713184
19 25770 -10.834371286713184
19 19040 -10.834371286713184
19 15226 -10.834371286713184
19 9096 -10.141224106153238
19 8572 -8.888461137657870
19 4238 -10.834371286713184
19 14146 -9.735758998045073
19 11877 -10.834371286713184
19 25801 -10.834371286713184
19 25778 -10.834371286713184
19 21009 -10.834371286713184
19 22166 -10.834371286713184
19 14321 -10.141224106153238
19 25758 -9.735758998045073
19 15566 -10.834371286713184
19 3073 -10.834371286713184
19 25765 -10.141224106153238
19 7383 -9.735758998045073
19 25759 -10.834371286713184
19 25810 -10.141224106153238
19 3539 -9.735758998045073
19 18375 -10.834371286713184
19 14125 -10.834371286713184
19 10553 -10.834371286713184
19 9725 -10.834371286713184
19 6590 -10.141224106153238
19 1661 -10.834371286713184
19 25774 -10.834371286713184
19 6606 -10.834371286713184
19 19762 -10.141224106153238
19 11743 -10.834371286713184
19 13858 -9.448076925593293
19 9021 -10.141224106153238
19 19577 -10.834371286713184
19 9421 -10.834371286713184
19 25826 -10.834371286713184
19 19397 -10.141224106153238
19 24886 -9.735758998045073
19 20985 -10.834371286713184
19 11822 -10.141224106153238
19 25834 -10.834371286713184
19 23660 -10.834371286713184
19 3872 -10.834371286713184
19 17777 -10.141224106153238
19 2984 -10.834371286713184
19 25841 -10.834371286713184
19 4995 -10.834371286713184
19 7273 -10.834371286713184
19 16470 -10.141224106153238
19 22141 -10.834371286713184
19 1884 -9.448076925593293
19 15587 -10.834371286713184
19 25850 -10.834371286713184
19 8275 -9.735758998045073
19 12815 -10.834371286713184
19 25830 -10.834371286713184
19 25854 -10.834371286713184
19 11094 -10.834371286713184
19 8364 -10.141224106153238
19 1305 -10.141224106153238
19 727 -10.834371286713184
19 4386 -10.834371286713184
19 9917 -10.834371286713184
19 20882 -10.834371286713184
19 3505 -10.834371286713184
19 3174 -10.834371286713184
19 2102 -10.141224106153238
19 9206 -10.834371286713184
19 2014 -10.834371286713184
19 5858 -10.141224106153238
19 4877 -10.834371286713184
19 18829 -9.735758998045073
19 24086 -10.834371286713184
19 22499 -10.834371286713184
19 9076 -10.141224106153238
19 11243 -10.834371286713184
19 14168 -10.834371286713184
19 6618 -10.141224106153238
19 18306 -10.834371286713184
19 6977 -10.834371286713184
19 17025 -9.735758998045073
19 11497 -10.141224106153238
19 6171 -10.834371286713184
19 19788 -9.042611817485128
19 19705 -10.834371286713184
19 8191 -10.141224106153238
19 25883 -10.141224106153238
19 25888 -9.735758998045073
19 1322 -10.141224106153238
19 3142 -10.834371286713184
19 11649 -10.834371286713184
19 15952 -10.834371286713184
19 25896 -10.834371286713184
19 25099 -10.141224106153238
19 2775 -10.834371286713184
19 18400 -10.834371286713184
19 169 -8.349464636925182
19 20293 -10.834371286713184
19 25882 -10.834371286713184
19 17759 -10.141224106153238
19 25902 -10.834371286713184
19 25885 -10.834371286713184
19 17009 -10.834371286713184
19 20082 -10.834371286713184
19 7198 -10.834371286713184
19 23076 -10.834371286713184
19 17617 -10.834371286713184
19 25879 -10.834371286713184
19 5895 -10.834371286713184
19 17561 -10.834371286713184
19 7491 -10.834371286713184
19 18661 -10.834371286713184
19 4928 -10.834371286713184
19 17570 -10.834371286713184
19 10508 -9.735758998045073
19 14287 -10.834371286713184
19 7459 -9.448076925593293
19 25919 -10.834371286713184
19 12472 -9.735758998045073
19 10622 -10.141224106153238
19 25925 -7.838639013159193
19 8949 -10.141224106153238
19 3679 -10.141224106153238
19 7056 -10.834371286713184
19 4974 -9.448076925593293
19 23630 -10.834371286713184
19 14344 -10.834371286713184
